WKT,unnamed (1),lat,lon
"POINT (-90.5674 14.59514)",0.0,14.59514,-90.5674
"POINT (-90.56838 14.59541)",1.0,14.59541,-90.56838
"POINT (-90.57003 14.59524)",2.0,14.59524,-90.57003
"POINT (-90.57158 14.5931)",3.0,14.5931,-90.57158
"POINT (-90.57443 14.592)",4.0,14.592,-90.57443
"POINT (-90.57469 14.59033)",5.0,14.59033,-90.57469
"POINT (-90.57563 14.59011)",6.0,14.59011,-90.57563
"POINT (-90.57879 14.59308)",7.0,14.59308,-90.57879
"POINT (-90.5784 14.59776)",8.0,14.59776,-90.5784
"POINT (-90.57894 14.59902)",9.0,14.59902,-90.57894
"POINT (-90.58685 14.60791)",10.0,14.60791,-90.58685
"POINT (-90.58798 14.60875)",11.0,14.60875,-90.58798
"POINT (-90.58954 14.60932)",12.0,14.60932,-90.58954
"POINT (-90.59397 14.60948)",13.0,14.60948,-90.59397
"POINT (-90.59458 14.61006)",14.0,14.61006,-90.59458
"POINT (-90.59506 14.61151)",15.0,14.61151,-90.59506
"POINT (-90.59589 14.61217)",16.0,14.61217,-90.59589
"POINT (-90.59847 14.61237)",17.0,14.61237,-90.59847
"POINT (-90.60061 14.61378)",18.0,14.61378,-90.60061
"POINT (-90.60311 14.61354)",19.0,14.61354,-90.60311
"POINT (-90.60492 14.61417)",20.0,14.61417,-90.60492
"POINT (-90.60533 14.61469)",21.0,14.61469,-90.60533
"POINT (-90.60528 14.61608)",22.0,14.61608,-90.60528
"POINT (-90.606171 14.61752)",23.0,14.61752,-90.606171
